recipient,amount,error
CU2UDzD2vwiu1zSbaJfy26st2LJ2mMfRSL4uDMtSApKi,1755.364942,Error: Sender has insufficient funds  current balance is 0.000147572
Hm2ztgdnokuSeJDbAEM8KWS2b7fWWLHT3r6aoQb5C8Lu,41.725889,Error: Sender has insufficient funds  current balance is 0.000147572
4sVutMgRtBAQUwPaxY5v1bN3KaGtoVU7aVmbXCmFupj5,0.379079,Error: Sender has insufficient funds  current balance is 0.000147572
5SDH2VewncHUaJviMqJtVWPQXyN5p9n9J8DcdSy2L4BF,0.382878,Error: Sender has insufficient funds  current balance is 0.000147572
CYq4Gb6q4w4makzELLBPoaFzW7xCFsd6MKDM8Khe8eXK,0.024115,Error: Sender has insufficient funds  current balance is 0.000147572
HBg5hxt2VdudYPemDyFo4WfoRJVC7aePde9JiMTMGC8h,0.814608,Error: Sender has insufficient funds  current balance is 0.000147572
9WYNJkt328m1b6RXCxX1NRR5pKLvNDybTezFFTgcrLv7,9.440281,Error: Sender has insufficient funds  current balance is 0.000147572
9u1ByGSfp9s65EbLUSm9QmyhhgbrZ9pTTwppRoTozDvR,0.153149,Error: Sender has insufficient funds  current balance is 0.000147572
DYad3PRu6n9upWTqrhYyUtbCiQZHQweb5oWLTVG8c7RJ,0.075779,Error: Sender has insufficient funds  current balance is 0.000071722
HPZbtBk8RbkDMTknNej2uS3Bnc1XJ9D1whVg5hf156w2,0.076909,Error: Sender has insufficient funds  current balance is 0.000071722
Caqy7PYZmfkW86VBz6YnSvnVFtBKLMBu22Vn76KDafii,0.217224,Error: Sender has insufficient funds  current balance is 0.000071722
5uSChyQJZLVH8cJqNNX7DDZywW29aVKkTi8SBVrqr8FU,0.233735,Error: Sender has insufficient funds  current balance is 0.000071722
FEekqYHw5Z3aQzQbUaTP8Tv6brADvnBnMs8qnr4jXksH,38.750808,Error: Sender has insufficient funds  current balance is 0.000071722
6EK8giWphLnAcnc33MC4WFUfzykK14UXvsEcRqXrUkj,7.575178,Error: Sender has insufficient funds  current balance is 0.000071722
34Wmv58UF8HUmjdcWdCZVU9o7h8N5h2fTozqRwh9mucM,0.304325,Error: Sender has insufficient funds  current balance is 0.000071722
CnM46qezaUqaL6vF9vYnRGT6DofAMh4weL7T2TF9jCAU,0.037955,Error: Sender has insufficient funds  current balance is 0.000071722
FsiZjQ5Wnd3bfYtMZWRTAZX4hAu5n13FWoXSLp8bzk2,16.397299,Error: Sender has insufficient funds  current balance is 0.000071722
4aG19ZGbsW6UvujyTcZ2cwT6UBNdSwk1WdhCJRdmZ9Bm,0.076855,Error: Sender has insufficient funds  current balance is 0.000071722
AndexNHa8pNp5afjwMMjKNGEUCgBf7caCtGDYDe95qMa,1.060469,Error: Sender has insufficient funds  current balance is 0.000071722
76rhbhYqKZ51qUARzENgxNmHfPtXC7cMmZjJKYckfA2y,0.528927,Error: Sender has insufficient funds  current balance is 0.000071722
GWcKVNJHeUW32qry4UVegW9iMSjeqQRDggPjtYSxT6z5,0.760446,Error: Sender has insufficient funds  current balance is 0.000071722
74zF7HjPEoG5K5YQSmBToDzQ9vZrbp3orSRoi92UiH9w,0.076422,Error: Sender has insufficient funds  current balance is 0.000071722
FwJfFMgb5Ud6U4R8QHSebRj6v9ThAL8xzHVy54sbDiue,0.075851,Error: Sender has insufficient funds  current balance is 0.000071722
HzyCZNoF3QZzzFCPeYj5eR2babCnhJ1MmLkMY3bSt6Yn,0.123358,Error: Sender has insufficient funds  current balance is 0.000071722
FT2gVe7vhXpCgooTg8BnJmTKDgPQnTLhPcPyn81GzDgu,0.000761,Error: Sender has insufficient funds  current balance is 0.000071722
4dgruNQZAFnSDcUQ4mZ97DESFRiS5CWNVntzgMgmt4Bx,0.201775,Error: Sender has insufficient funds  current balance is 0.000071722
53kjdSfCFsa8Nj3v4bA4r3XBENvbmizYkywwitQ7jccK,0.000175,Error: Sender has insufficient funds  current balance is 0.000071722
D9QyhfzbU3MQXbBbCxCaAoJGp8tVUw6vzBRV3iQKghPS,871.990942,Error: Sender has insufficient funds  current balance is 0.000071722
9X64zje5m782FN1wsq2se3RY9UVs3CCVTLSRT7Byhu6u,4.286009,Error: Sender has insufficient funds  current balance is 0.000071722
AGbz8HA7mTmDpfvrNFgRMcwtieN7t34FdStSBK6EvGtL,7.719889,Error: Sender has insufficient funds  current balance is 0.000071722
5Xe36PbUgxhBXB2iN83y4HVpoyKUhJCjdSrifuAsPNaf,0.078162,Error: Sender has insufficient funds  current balance is 0.000071722
Cm5D4TunudhdJwnFSHfxffzLeT3ncYsbXsUdSqWSm3Nd,0.000758,Error: Sender has insufficient funds  current balance is 0.000071722
2HJoTuUUTrVhsNpR8e2cPSoN3W3Le67XkNvVVH4Z1yxk,0.227658,Error: Sender has insufficient funds  current balance is 0.000071722
D3Xb9W1GrDLBAEbhtEPvFx2M67rBMEzpguybzYPxYj8r,0.354058,Error: Sender has insufficient funds  current balance is 0.000071722
Axsf2brSMjzCjmjC2vAvj8dU5YBWmdcAeDdCyxoR1HfZ,0.393580,Error: Sender has insufficient funds  current balance is 0.000071722
BLKY3nZKFgqBXZBVifXU4KyFz2CUEWEV6Nd6jP3aG1Ae,0.078163,Error: Sender has insufficient funds  current balance is 0.000071722
AgZA7tGG8zfQUe5vEumYvXu7DoBugcvWSrYx6fXY5v1p,0.000760,Error: Sender has insufficient funds  current balance is 0.000071722
7ZNjt2v5yhM6g8RL7SvJwdKJnf8JbisSfc1oFsVLpeQe,1.174167,Error: Sender has insufficient funds  current balance is 0.000071722
HEEzuSKTS9Fy3CDjPEFJxBYQZmq7PoZLK7itbfSBiyXG,0.078162,Error: Sender has insufficient funds  current balance is 0.000071722
2jzzjyUT1D3FYXtKSbyhqTjpgBjUuTNYwhswSfyJyU1N,928.073341,Error: Sender has insufficient funds  current balance is 0.000071722
DWzNCVYGS9rKoeFjcTuzHYntc1UHgSG4f9VoLV8cPeRt,0.001723,Error: Sender has insufficient funds  current balance is 0.000071722
Xq6EVTy3fV2eLhrcgsvKMhmHiudZKAqFmMErVzNMW7z,1.234533,Error: Sender has insufficient funds  current balance is 0.000071722
5MtBEGNKeo3Jh7bGhiBZpHDgPR3RLoBrfheQhdYUTvNF,0.007596,Error: Sender has insufficient funds  current balance is 0.000071722
BEQ55dS3C3hVLY8ugf11YpHfeNMHBMQQCbz69BAvDtBQ,0.000038,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
EGHQSYiWANzBkTYi5DM6G9zZP1cgJfYR3E3thL3MrZTp,0.323942,Error: Sender has insufficient funds  current balance is 0.000071722
3FrrE8pRw7YANEtjLuXjdtG7ZvyxFjvMokDNACdz29ds,9.526688,Error: Sender has insufficient funds  current balance is 0.000071722
5ckSiawgb8XEVpwuTGSP4S93vFirt7y2Cy23bGtRNS3j,0.153769,Error: Sender has insufficient funds  current balance is 0.000071722
7qK7ykdPhx6MewgLF1HaG9vashGiPh3fPFA4yj51V87t,0.024528,Error: Sender has insufficient funds  current balance is 0.000071722
6z3aEyEeGRqh7Gwet55a6uztfqxpXRe13uRj2WNYZqui,4.399697,Error: Sender has insufficient funds  current balance is 0.000071722
3FrySPNVLpfXEefymu74wCwffh2uma5MwiSksNThUuG3,0.037955,Error: Sender has insufficient funds  current balance is 0.000071722
3b32zzgVvF85UeYk6PGQxjHntd9XSmfv7nzDe8vEtgxD,0.268974,Error: Sender has insufficient funds  current balance is 0.000071722
AsGToDLSbbQGtXyHXfdAY7qzZKhqJLmtSjR1KdSfYNCw,11.082035,Error: Sender has insufficient funds  current balance is 0.000071722
2sfrSTxg1z2fuKyNKdzp6HjX4kcg7rkzdNTtxwRKXRaW,7.627059,Error: Sender has insufficient funds  current balance is 0.000071722
hKQMsWVHD3mjk5bezdgdQzMzdHqEas1BwiD8HDPpQyY,0.394425,Error: Sender has insufficient funds  current balance is 0.000071722
793et8LjBGgyBvh2Ljo4T3ZEtbybHFkWkGdvYyS3SbbN,5.144415,Error: Sender has insufficient funds  current balance is 0.000071722
HMXcUxxReLMdMeGByuL71C6nk7fwTbLJyG7RS8EFKRmQ,0.290829,Error: Sender has insufficient funds  current balance is 0.000071722
3ZNJ9NsPGtBFd4MSLwrw1jnWz7rkMHUtGir5PC65jPNs,2.002558,Error: Sender has insufficient funds  current balance is 0.000071722
9c5pAe3VLTFf2UG6AMd2YvxZHuzTkAJuBMdTgFEKFmTt,0.001201,Error: Sender has insufficient funds  current balance is 0.000071722
NZFbb9rpXYTzrSWognou7wq8pb1kZeusqfEi4y38hpX,7.662706,Error: Sender has insufficient funds  current balance is 0.000071722
CLv5Tuctvepur6QURVnUWoKrpR5GzJeNq1ijvNbNCiFN,0.009102,Error: Sender has insufficient funds  current balance is 0.000071722
51Nsm4ogE3aV75h5oNBvusrz4rS4mJS68wbEDozVr6M9,0.535545,Error: Sender has insufficient funds  current balance is 0.000071722
7XQsL7heNNuvZkRPanFPdfaKnNBvi9qTZHT3ZuChbarr,0.078163,Error: Sender has insufficient funds  current balance is 0.000071722
A8B29Hqhy9bV5oT5phrwZs9AHrfi5DBFQmWmFRoibiYa,4.066322,Error: Sender has insufficient funds  current balance is 0.000071722
7YTcfjVFnjoJFY5sPER7zYVFLeamXXHfpdedoJ4dTQzj,0.037952,Error: Sender has insufficient funds  current balance is 0.000071722
2Jxr2Yw3eeGUjuFGubJmm953g2eYtbGYH8PfpZVhrCe1,1.105493,Error: Sender has insufficient funds  current balance is 0.000071722
4d9Np4E1CnC2tYTKduHdQHV7x6CERgCCpM7iMpygKpLN,3.056113,Error: Sender has insufficient funds  current balance is 0.000071722
Ffm4BrJruDJxTicXbEm1jJWp1Ge3qqEPt6URLALaddrq,0.114695,Error: Sender has insufficient funds  current balance is 0.000071722
4nmLVY14DJmbAwtGzq1E7pcapLkgMzK19vYRmSq34BBc,0.210025,Error: Sender has insufficient funds  current balance is 0.000071722
6oRHRnLX93bYeTN5YD2XHqskhbv8wN2pgSia9Kz3QkED,0.153607,Error: Sender has insufficient funds  current balance is 0.000071722
75LbuoVnyxvH3Mi53YgqfRiTAzuSuxpLv9nJuRM7ckFQ,0.037874,Error: Sender has insufficient funds  current balance is 0.000071722
DhQiNkeH2zAiZrppUpc6TNRRb386fj77uUZJuTGSh4CX,4.927933,Error: Sender has insufficient funds  current balance is 0.000071722
